product_id;country_id;Price
300477;90;369.00
300478;90;369.00
300479;90;569.00
300480;90;399.00
300481;90;399.00
300482;90;399.00
300483;90;399.00
300484;90;399.00
300485;90;1429.00
300486;90;1429.00
300487;90;1429.00
300488;90;1599.00
300489;90;1599.00
300490;90;999.00
300491;90;1599.00
300492;90;1599.00
300493;90;1799.00
300494;90;1699.00
300495;90;1699.00
300496;90;2999.00
300497;90;799.00
300498;90;1189.00
300499;90;1699.00
300500;90;1099.00
300501;90;2599.00
300502;90;699.00
300503;90;1199.00
300504;90;699.00
300505;90;999.00
300506;90;1189.00
300507;90;679.00
300508;90;549.00
300509;90;679.00
300510;90;2299.00
300511;90;679.00
300512;90;1249.00
300513;90;2299.00
300514;90;679.00
300515;90;1399.00
300516;90;3849.00
300517;90;769.00
300518;90;769.00
300519;90;2499.00
300520;90;749.00
300521;90;2499.00
300522;90;749.00
300523;90;749.00
300524;90;1649.00
300525;90;2899.00
300526;90;2959.00
300527;90;2959.00
300528;90;2959.00
300529;90;2759.00
300530;90;2899.00
300531;90;2749.00
300532;90;2799.00
300533;90;2749.00
300534;90;3299.00
300535;90;3299.00
300536;90;499.00
300537;90;1399.00
300538;90;479.00
300539;90;1069.00
300540;90;369.00
300541;90;369.00
300542;90;1999.00
300543;90;829.00
300544;90;829.00
300545;90;149.00
300546;90;149.00
300547;90;149.00
300548;90;149.00
300549;90;149.00
300550;90;539.00
300551;90;899.00
300552;90;699.00
300553;90;279.00
300554;90;219.00
300555;90;155.00
300556;90;205.00
300557;90;205.00
300558;90;205.00
300559;90;205.00
300560;90;119.00
300561;90;219.00
300562;90;219.00
300563;90;119.00
300564;90;119.00
300565;90;119.00
300566;90;99.00
300567;90;99.00
300568;90;419.00
300569;90;419.00
300570;90;419.00
300571;90;419.00
300572;90;199.00
300573;90;259.00
300574;90;199.00
300575;90;99.00
300576;90;149.00
300577;90;139.00
300578;90;459.00
300579;90;115.00
300580;90;99.00
300581;90;139.00
300582;90;115.00
300583;90;139.00
300584;90;115.00
300585;90;199.00
300586;90;199.00
300587;90;199.00
300588;90;259.00
300589;90;259.00
300590;90;259.00
300591;90;479.00
300592;90;479.00
300593;90;479.00
300594;90;319.00
300595;90;319.00
300596;90;479.00
300597;90;479.00
300598;90;479.00
300599;90;319.00
300600;90;479.00
300601;90;479.00
300602;90;599.00
300603;90;599.00
300604;90;599.00
300605;90;599.00
300606;90;599.00
300607;90;599.00
300608;90;599.00
300609;90;599.00
300610;90;599.00
300611;90;599.00
300612;90;599.00
300613;90;599.00
300614;90;569.00
300615;90;569.00
300616;90;569.00
300617;90;569.00
300618;90;569.00
300619;90;569.00
300620;90;569.00
300621;90;479.00
300622;90;319.00
300623;90;299.00
300624;90;299.00
300625;90;299.00
300626;90;299.00
300627;90;479.00
300628;90;219.00
300629;90;219.00
300630;90;219.00
300631;90;219.00
300632;90;219.00
300633;90;219.00
300634;90;219.00
300635;90;219.00
300636;90;999.00
300637;90;999.00
300638;90;999.00
300639;90;999.00
300640;90;999.00
300641;90;999.00
300642;90;1099.00
300643;90;999.00
300644;90;1199.00
300645;90;999.00
300646;90;349.00
300647;90;269.00
300648;90;349.00
300649;90;269.00
300650;90;269.00
300651;90;349.00
300652;90;269.00
300653;90;349.00
300654;90;349.00
300655;90;349.00
300656;90;269.00
300657;90;389.00
300658;90;259.00
300659;90;389.00
300660;90;259.00
300661;90;389.00
300662;90;259.00
300663;90;389.00
300664;90;259.00
300665;90;389.00
300666;90;389.00
300667;90;259.00
300668;90;225.00
300669;90;259.00
300670;90;799.00
300671;90;259.00
300672;90;225.00
300673;90;259.00
300674;90;259.00
300675;90;225.00
300676;90;619.00
300677;90;799.00
300678;90;259.00
300679;90;225.00
300680;90;259.00
300681;90;259.00
300682;90;229.00
300683;90;259.00
300684;90;259.00
300685;90;229.00
300686;90;259.00
300687;90;259.00
300688;90;209.00
300689;90;269.00
300690;90;329.00
300691;90;269.00
300692;90;269.00
300693;90;209.00
300694;90;269.00
300695;90;209.00
300696;90;209.00
300697;90;269.00
300698;90;329.00
300699;90;209.00
300700;90;399.00
